NOM,EPCI,F18-24
Oulches-la-Vallée-Foulon,240200592,1
Oulchy-la-Ville,240200519,5
Oulchy-le-Château,240200519,25
Paars,240200501,8
Paissy,240200592,3
Pancy-Courtecon,240200592,0
Papleux,240200444,3
Parcy-et-Tigny,240200519,9
Parfondeval,240200634,1
Parfondru,200043495,6
Pargnan,240200592,1
Pargny-Filain,240200501,4
Pargny-la-Dhuys,200072031,4
Pargny-les-Bois,240200469,2
Parpeville,200040426,1
Pasly,240200477,22
Passy-en-Valois,200071991,2
Passy-sur-Marne,200072031,3
Pavant,240200584,18
Pernant,200071991,16
Pierremande,200071785,12
Pierrepont,240200469,12
Pignicourt,240200576,3
Pinon,200071769,41
Pithon,200070985,2
